archivo,algoritmo,n,tiempo,memoriaKB
16_densa_D0_a_1.txt,Naive,16,9.3545e-05,0
16_densa_D0_a_1.txt,Strassen,16,0.00322207,0
16_densa_D0_b_1.txt,Naive,16,9.3845e-05,0
16_densa_D0_b_1.txt,Strassen,16,0.00519413,0
16_densa_D0_c_1.txt,Naive,16,5.0976e-05,0
16_densa_D0_c_1.txt,Strassen,16,0.00764391,0
16_densa_D10_a_1.txt,Naive,16,9.4714e-05,0
16_densa_D10_a_1.txt,Strassen,16,0.00334468,0
16_densa_D10_b_1.txt,Naive,16,6.1352e-05,0
16_densa_D10_b_1.txt,Strassen,16,0.00322905,0
16_densa_D10_c_1.txt,Naive,16,9.3057e-05,0
16_densa_D10_c_1.txt,Strassen,16,0.00315007,0
16_diagonal_D0_a_1.txt,Naive,16,4.992e-05,0
16_diagonal_D0_a_1.txt,Strassen,16,0.00347094,0
16_diagonal_D0_b_1.txt,Naive,16,0.000103576,0
16_diagonal_D0_b_1.txt,Strassen,16,0.00342355,0
16_diagonal_D0_c_1.txt,Naive,16,9.3671e-05,0
16_diagonal_D0_c_1.txt,Strassen,16,0.00332787,0
16_diagonal_D10_a_1.txt,Naive,16,7.0212e-05,0
16_diagonal_D10_a_1.txt,Strassen,16,0.00319035,0
16_diagonal_D10_b_1.txt,Naive,16,0.00010228,0
16_diagonal_D10_b_1.txt,Strassen,16,0.00312707,0
16_diagonal_D10_c_1.txt,Naive,16,0.0002205,0
16_diagonal_D10_c_1.txt,Strassen,16,0.00500196,0
16_dispersa_D0_a_1.txt,Naive,16,0.000102353,0
16_dispersa_D0_a_1.txt,Strassen,16,0.00407199,0
16_dispersa_D0_b_1.txt,Naive,16,0.000134329,0
16_dispersa_D0_b_1.txt,Strassen,16,0.00316612,0
16_dispersa_D0_c_1.txt,Naive,16,9.4509e-05,0
16_dispersa_D0_c_1.txt,Strassen,16,0.00729655,0
16_dispersa_D10_a_1.txt,Naive,16,0.000101729,0
16_dispersa_D10_a_1.txt,Strassen,16,0.0031627,0
16_dispersa_D10_b_1.txt,Naive,16,0.000103178,0
16_dispersa_D10_b_1.txt,Strassen,16,0.00347097,0
16_dispersa_D10_c_1.txt,Naive,16,3.1256e-05,0
16_dispersa_D10_c_1.txt,Strassen,16,0.00339872,0
256_densa_D0_a_1.txt,Naive,256,0.2069,392
256_densa_D0_a_1.txt,Strassen,256,8.92769,2696
256_densa_D0_b_1.txt,Naive,256,0.116658,448
256_densa_D0_b_1.txt,Strassen,256,7.59416,2712
256_densa_D0_c_1.txt,Naive,256,0.109234,448
256_densa_D0_c_1.txt,Strassen,256,7.61134,2704
256_densa_D10_a_1.txt,Naive,256,0.112473,448
256_densa_D10_a_1.txt,Strassen,256,7.55192,2436
256_densa_D10_b_1.txt,Naive,256,0.137601,448
256_densa_D10_b_1.txt,Strassen,256,7.74503,2696
256_densa_D10_c_1.txt,Naive,256,0.11748,452
256_densa_D10_c_1.txt,Strassen,256,7.53167,2640
256_diagonal_D0_a_1.txt,Naive,256,0.110818,452
256_diagonal_D0_a_1.txt,Strassen,256,7.58103,2640
256_diagonal_D0_b_1.txt,Naive,256,0.143897,448
256_diagonal_D0_b_1.txt,Strassen,256,7.80302,2696
256_diagonal_D0_c_1.txt,Naive,256,0.110628,392
256_diagonal_D0_c_1.txt,Strassen,256,7.93267,2640
256_diagonal_D10_a_1.txt,Naive,256,0.159833,392
256_diagonal_D10_a_1.txt,Strassen,256,8.17253,2696
256_diagonal_D10_b_1.txt,Naive,256,0.1524,452
256_diagonal_D10_b_1.txt,Strassen,256,8.1375,2376
256_diagonal_D10_c_1.txt,Naive,256,0.169543,448
256_diagonal_D10_c_1.txt,Strassen,256,8.41081,2436
256_dispersa_D0_a_1.txt,Naive,256,0.175793,392
256_dispersa_D0_a_1.txt,Strassen,256,7.71493,2640
256_dispersa_D0_b_1.txt,Naive,256,0.105547,392
256_dispersa_D0_b_1.txt,Strassen,256,7.69965,2640
256_dispersa_D0_c_1.txt,Naive,256,0.209284,448
256_dispersa_D0_c_1.txt,Strassen,256,8.61327,2696
256_dispersa_D10_a_1.txt,Naive,256,0.136015,448
256_dispersa_D10_a_1.txt,Strassen,256,8.10187,2696
