archivo,algoritmo,n,tiempo,memoriaKB
100000_aleatorio_D1_a.txt,PatienceSort,100000,16.0246,2096
100000_aleatorio_D1_a.txt,QuickSort,100000,2.56181,592
100000_aleatorio_D1_a.txt,MergeSort,100000,0.027284,528
100000_aleatorio_D1_a.txt,Sort,100000,0.0223708,264
100000_aleatorio_D1_b.txt,PatienceSort,100000,15.9654,2096
100000_aleatorio_D1_b.txt,QuickSort,100000,2.65587,580
100000_aleatorio_D1_b.txt,MergeSort,100000,0.0277868,528
100000_aleatorio_D1_b.txt,Sort,100000,0.0270772,0
100000_aleatorio_D1_c.txt,PatienceSort,100000,15.3694,2032
100000_aleatorio_D1_c.txt,QuickSort,100000,2.60381,640
100000_aleatorio_D1_c.txt,MergeSort,100000,0.0288488,264
100000_aleatorio_D1_c.txt,Sort,100000,0.0243571,0
100000_aleatorio_D7_a.txt,PatienceSort,100000,0.77061,1536
100000_aleatorio_D7_a.txt,QuickSort,100000,0.0165495,0
100000_aleatorio_D7_a.txt,MergeSort,100000,0.0449875,264
100000_aleatorio_D7_a.txt,Sort,100000,0.0254671,264
100000_aleatorio_D7_b.txt,PatienceSort,100000,0.76173,1588
100000_aleatorio_D7_b.txt,QuickSort,100000,0.0182075,0
100000_aleatorio_D7_b.txt,MergeSort,100000,0.0339186,264
100000_aleatorio_D7_b.txt,Sort,100000,0.0261387,528
100000_aleatorio_D7_c.txt,PatienceSort,100000,0.768143,1540
100000_aleatorio_D7_c.txt,QuickSort,100000,0.0152405,0
100000_aleatorio_D7_c.txt,MergeSort,100000,0.0309077,264
100000_aleatorio_D7_c.txt,Sort,100000,0.0265699,0
100000_ascendente_D1_a.txt,PatienceSort,100000,295.326,5972
100000_ascendente_D1_a.txt,QuickSort,100000,26.4486,4540
100000_ascendente_D1_a.txt,MergeSort,100000,0.027547,0
100000_ascendente_D1_a.txt,Sort,100000,0.0217436,0
100000_ascendente_D1_b.txt,PatienceSort,100000,295.285,5892
100000_ascendente_D1_b.txt,QuickSort,100000,27.8627,4544
100000_ascendente_D1_b.txt,MergeSort,100000,0.0239705,0
100000_ascendente_D1_b.txt,Sort,100000,0.0258384,0
100000_ascendente_D1_c.txt,PatienceSort,100000,293.29,5892
100000_ascendente_D1_c.txt,QuickSort,100000,31.4854,4544
100000_ascendente_D1_c.txt,MergeSort,100000,0.0238124,0
100000_ascendente_D1_c.txt,Sort,100000,0.015246,0
100000_ascendente_D7_a.txt,PatienceSort,100000,315.709,6752
100000_ascendente_D7_a.txt,QuickSort,100000,28.2951,4540
100000_ascendente_D7_a.txt,MergeSort,100000,0.0361424,0
100000_ascendente_D7_a.txt,Sort,100000,0.0181072,0
100000_ascendente_D7_b.txt,PatienceSort,100000,299.83,6488
100000_ascendente_D7_b.txt,QuickSort,100000,31.4383,4548
100000_ascendente_D7_b.txt,MergeSort,100000,0.0281569,0
100000_ascendente_D7_b.txt,Sort,100000,0.0131219,0
100000_ascendente_D7_c.txt,PatienceSort,100000,325.472,6188
100000_ascendente_D7_c.txt,QuickSort,100000,28.8878,4484
100000_ascendente_D7_c.txt,MergeSort,100000,0.0450352,0
100000_ascendente_D7_c.txt,Sort,100000,0.0182529,0
100000_descendente_D1_a.txt,PatienceSort,100000,16.2779,2032
100000_descendente_D1_a.txt,QuickSort,100000,3.38768,584
100000_descendente_D1_a.txt,MergeSort,100000,0.0233733,264
100000_descendente_D1_a.txt,Sort,100000,0.0167243,528
100000_descendente_D1_b.txt,PatienceSort,100000,15.4882,1976
100000_descendente_D1_b.txt,QuickSort,100000,3.1166,324
100000_descendente_D1_b.txt,MergeSort,100000,0.0338357,264
100000_descendente_D1_b.txt,Sort,100000,0.0242282,264
100000_descendente_D1_c.txt,PatienceSort,100000,17.3365,2096
100000_descendente_D1_c.txt,QuickSort,100000,12.6901,1900
100000_descendente_D1_c.txt,MergeSort,100000,0.0267717,264
100000_descendente_D1_c.txt,Sort,100000,0.0268602,264
100000_descendente_D7_a.txt,PatienceSort,100000,0.0153147,1456
100000_descendente_D7_a.txt,QuickSort,100000,19.2079,4488
100000_descendente_D7_a.txt,MergeSort,100000,0.0240401,264
100000_descendente_D7_a.txt,Sort,100000,0.00769272,264
100000_descendente_D7_b.txt,PatienceSort,100000,0.00893425,1292
100000_descendente_D7_b.txt,QuickSort,100000,19.0866,4488
100000_descendente_D7_b.txt,MergeSort,100000,0.0241642,264
100000_descendente_D7_b.txt,Sort,100000,0.0140771,264
100000_descendente_D7_c.txt,PatienceSort,100000,0.0147883,1460
100000_descendente_D7_c.txt,QuickSort,100000,20.6244,4488
100000_descendente_D7_c.txt,MergeSort,100000,0.0320641,264
100000_descendente_D7_c.txt,Sort,100000,0.0141724,264
1000_aleatorio_D1_a.txt,PatienceSort,1000,0.0025057,0
1000_aleatorio_D1_a.txt,QuickSort,1000,0.000326741,0
1000_aleatorio_D1_a.txt,MergeSort,1000,0.000225272,0
1000_aleatorio_D1_a.txt,Sort,1000,0.000109701,0
1000_aleatorio_D1_b.txt,PatienceSort,1000,0.00225702,0
1000_aleatorio_D1_b.txt,QuickSort,1000,0.00202132,0
1000_aleatorio_D1_b.txt,MergeSort,1000,0.000867884,0
1000_aleatorio_D1_b.txt,Sort,1000,0.000338846,0
1000_aleatorio_D1_c.txt,PatienceSort,1000,0.00233209,0
1000_aleatorio_D1_c.txt,QuickSort,1000,0.00161801,0
1000_aleatorio_D1_c.txt,MergeSort,1000,0.000763816,0
1000_aleatorio_D1_c.txt,Sort,1000,9.9301e-05,0
1000_aleatorio_D7_a.txt,PatienceSort,1000,0.000914062,0
1000_aleatorio_D7_a.txt,QuickSort,1000,0.000333266,0
1000_aleatorio_D7_a.txt,MergeSort,1000,0.000230266,0
1000_aleatorio_D7_a.txt,Sort,1000,0.000311291,0
1000_aleatorio_D7_b.txt,PatienceSort,1000,0.00105502,0
1000_aleatorio_D7_b.txt,QuickSort,1000,9.4185e-05,0
1000_aleatorio_D7_b.txt,MergeSort,1000,0.000646482,0
1000_aleatorio_D7_b.txt,Sort,1000,0.000126978,0
1000_aleatorio_D7_c.txt,PatienceSort,1000,0.0030767,0
1000_aleatorio_D7_c.txt,QuickSort,1000,9.5109e-05,0
1000_aleatorio_D7_c.txt,MergeSort,1000,0.000229085,0
1000_aleatorio_D7_c.txt,Sort,1000,0.000126395,0
1000_ascendente_D1_a.txt,PatienceSort,1000,0.0476076,0
1000_ascendente_D1_a.txt,QuickSort,1000,0.00389743,1900
1000_ascendente_D1_a.txt,MergeSort,1000,0.000175637,0
1000_ascendente_D1_a.txt,Sort,1000,0.000157306,0
1000_ascendente_D1_b.txt,PatienceSort,1000,0.0499605,0
1000_ascendente_D1_b.txt,QuickSort,1000,0.00431207,0
1000_ascendente_D1_b.txt,MergeSort,1000,0.000209711,0
1000_ascendente_D1_b.txt,Sort,1000,7.0159e-05,0
1000_ascendente_D1_c.txt,PatienceSort,1000,0.0439438,0
1000_ascendente_D1_c.txt,QuickSort,1000,0.00903418,0
1000_ascendente_D1_c.txt,MergeSort,1000,0.000307119,0
1000_ascendente_D1_c.txt,Sort,1000,7.023e-05,0
1000_ascendente_D7_a.txt,PatienceSort,1000,0.0512726,0
1000_ascendente_D7_a.txt,QuickSort,1000,0.00553398,0
1000_ascendente_D7_a.txt,MergeSort,1000,0.000554136,0
1000_ascendente_D7_a.txt,Sort,1000,0.000188957,0
1000_ascendente_D7_b.txt,PatienceSort,1000,0.046686,0
1000_ascendente_D7_b.txt,QuickSort,1000,0.00634141,0
1000_ascendente_D7_b.txt,MergeSort,1000,0.000718107,0
1000_ascendente_D7_b.txt,Sort,1000,0.000187175,0
1000_ascendente_D7_c.txt,PatienceSort,1000,0.0567993,0
1000_ascendente_D7_c.txt,QuickSort,1000,0.00781571,0
1000_ascendente_D7_c.txt,MergeSort,1000,0.000186918,0
1000_ascendente_D7_c.txt,Sort,1000,0.000173996,0
1000_descendente_D1_a.txt,PatienceSort,1000,0.00159027,0
1000_descendente_D1_a.txt,QuickSort,1000,0.00227552,0
1000_descendente_D1_a.txt,MergeSort,1000,0.000199238,0
1000_descendente_D1_a.txt,Sort,1000,8.941e-05,0
1000_descendente_D1_b.txt,PatienceSort,1000,0.00166656,0
1000_descendente_D1_b.txt,QuickSort,1000,0.00279922,0
1000_descendente_D1_b.txt,MergeSort,1000,0.000627339,0
1000_descendente_D1_b.txt,Sort,1000,0.000271816,0
1000_descendente_D1_c.txt,PatienceSort,1000,0.00155551,0
1000_descendente_D1_c.txt,QuickSort,1000,0.00159063,0
1000_descendente_D1_c.txt,MergeSort,1000,0.000599881,0
1000_descendente_D1_c.txt,Sort,1000,0.000274961,0
1000_descendente_D7_a.txt,PatienceSort,1000,0.000208142,0
1000_descendente_D7_a.txt,QuickSort,1000,0.00167385,0
1000_descendente_D7_a.txt,MergeSort,1000,0.000594151,0
1000_descendente_D7_a.txt,Sort,1000,5.6438e-05,0
1000_descendente_D7_b.txt,PatienceSort,1000,0.000213784,0
1000_descendente_D7_b.txt,QuickSort,1000,0.0057307,0
